nonStereoSMILES,descriptors,floral,fruity,green,herbal,sweet,woody
CC(O)C1CCCCC1,fermented;herbal;oily;clean;fresh;fruity,0,1,0,1,0,0
CCCCOC(=O)C(C)(C)C,apple;fruity;herbal,0,1,0,1,0,0
CCCCOC(=S)C(C)C,fruity;mushroom;sulfurous;radish,0,1,0,0,0,0
CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO,waxy,0,0,0,0,0,0
CCOC(=O)C(CC)OC(C)=O,fruity;mint,0,1,0,0,0,0
CC(C)C=CC=O,pungent;cognac;aldehydic;woody;grassy;apple;cooked;spicy;green;fresh;ethereal,0,0,1,0,0,1
CCCCCC=COC(=O)CC(C)C,apple;fruity;tropical;green,0,1,1,0,0,0
CC(=O)Sc1ccoc1C,meaty;roasted;beefy;sulfurous;burnt;cooked,0,0,0,0,0,0
CSCCCO,meaty;savory;sulfurous;mushroom;vegetable;cooked;onion;sweet,0,0,0,0,1,0
CCC=CCCOC(C)OCC,natural;leafy;grassy;musty;vegetable;violet;earthy;mushroom;green;radish;fruity,0,1,1,0,0,0
CC(C)C1OCOCC1(C)C,woody;fresh;herbal;green;camphoreous,0,0,1,1,0,1
Cc1cc(C)c(C)c(O)c1,woody,0,0,0,0,0,1
CCC(C)C(=O)OCC(C)OC(=O)C(C)CC,buttery;fruity,0,1,0,0,0,0
CC=C(C)C(=O)OCC=C(C)CCC=C(C)C,geranium;floral;herbal;sweet;fruity,1,1,0,1,1,0
CC1=CCC(=C(C)C)CC1,pine;fruit skin;anisic;woody;lemon;herbal;fresh;sweet;citrus,0,0,0,1,1,1
C=CCC(C=CCCC)OC(C)=O,fatty;earthy;green;mushroom,0,0,1,0,0,0
COC(C)(C)CCCC(C)C(C)O,floral;soapy;woody;sandalwood;sweet,1,0,0,0,1,1
C[S+](C)CCC(N)C(=O)O.[Cl-],tomato;sulfurous;potato;green;malty,0,0,1,0,0,0
O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Al+3].[Na+],odorless,0,0,0,0,0,0
CCCCCCCCCC(C)O,rose;waxy;floral;fatty;oily;soapy;fruity;fresh;citrus,1,1,0,0,0,0
CC1=CC2CC(C3OCCO3)C1CC2C(C)C,rose;green;woody;floral,1,0,1,0,0,1
COCC(CC(C)C)NC(=O)c1ccc(C)c(C)c1,milky;savory,0,0,0,0,0,0
CCC(C)COC(=O)Cc1ccccc1,dry;floral;fruity;cocoa;balsamic;sweet,1,1,0,0,1,0
CCCCOC(=O)CCC,tropical;banana;juicy;ripe;apple;pineapple;cherry;green;fresh;pear;sweet;fruity,0,1,1,0,1,0
C=CCC(O)C=CCCCCC,earthy;green;mushroom,0,0,1,0,0,0
CSSCc1ccco1,meaty;coffee;roasted;sulfurous;garlic;onion;alliaceous,0,0,0,0,0,0
CCCc1cnccn1,roasted;hazelnut;vegetable;green;nutty,0,0,1,0,0,0
CCOC1OC(CO)C(O)C(O)C1O,alcoholic,0,0,0,0,0,0
CCCCC1C=C(C)CC(C)O1,vegetable;spicy;earthy;geranium;green;floral,1,0,1,0,0,0
CCCCCCCCCOC(=O)c1ccccc1N,citrus;fresh;sweet;orange,0,0,0,0,1,0
Cl.NC(CS)C(=O)O,odorless,0,0,0,0,0,0
COC1=C(C)CC(C)C1=O,caramellic,0,0,0,0,0,0
CC1CCC(C(C)(C)S)C(=O)C1,tropical;natural;sulfurous;peach;herbal;mint;green;raspberry;fruity;berry,0,1,1,1,0,0
CC(C)OC(=O)c1ccccc1O,herbal;clove;cortex;green;sweet;fruity,0,1,1,1,1,0
Cc1nc2ccccc2nc1C,fatty;roasted;earthy,0,0,0,0,0,0
C=CCOC(=O)C=Cc1ccccc1,apricot;cinnamon;peach;spicy;pineapple;balsamic;sweet;fruity;plum,0,1,0,0,1,0
CC=Cc1ccc(OC(C)OCC)c(OC)c1,tropical;spicy;sweet;floral,1,0,0,0,1,0
CCCC(O)CCC1C(C)CCCC1(C)C,amber;powdery;woody;dry;sandalwood,0,0,0,0,0,1
COc1ccc(CO)cc1,hawthorn;vanilla;anisic;hyacinth;rose;coumarinic;floral;lactonic;balsamic;powdery;creamy;cherry;sweet;fruity,1,1,0,0,1,0
CCC(CC)C(=O)OCC=C(C)CCC=C(C)C,apple;fruity,0,1,0,0,0,0
CCCSSSSC,cooked;garlic;sulfurous;onion,0,0,0,0,0,0
CC(O)CC(=O)OC1CC(C)CCC1C(C)C,mint;cooling,0,0,0,0,0,0
CC(C)=CCC(C)(C)C(=O)C(C)C,herbal;tropical;bergamot;citrus;sweet,0,0,0,1,1,0
CC(=O)c1nccs1,hazelnut;popcorn;roasted;nutty,0,0,0,0,0,0
CCC(C)CCCCCCCCCCCCC=O,fatty,0,0,0,0,0,0
C=CCOC(=O)CC(C)C,pungent;banana;apple;pineapple;winey;cherry;sweet;fruity;berry,0,1,0,0,1,0
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,spicy,0,0,0,0,0,0
CC(=O)CC(C)(C)C1CCCCC1,woody;floral;vetiver;waxy,1,0,0,0,0,1
COC(=O)CC(=O)OC,ethereal;apple;fruity;green,0,1,1,0,0,0
CCCCCCCC=CC=CC=O,meaty;orange;fatty;grapefruit;citrus,0,0,0,0,0,0
CC1CO1,ethereal;sweet,0,0,0,0,1,0
CCCCCC#CC(=O)OCC,violet;oily;leafy;waxy,0,0,0,0,0,0
O=C(CO)CO,mint;sweet;fruity,0,1,0,0,1,0
CC=CC(=O)C1C(C)C=CCC1(C)C,natural;rose;woody;black currant;floral;herbal;mint;tobacco;sweet;fruity,1,1,0,1,1,1
CC=C(C)C(=O)OC1CC(C)CCC1C(C)C,fruity;herbal;sweet;floral,1,1,0,1,1,0
CCc1nc(C)oc1C,roasted;hazelnut;vegetable;burnt;green;nutty,0,0,1,0,0,0
CCCCCCC(=O)O,fermented;waxy;sweaty;fatty;pineapple;cheesy;sour;fruity,0,1,0,0,0,0
CCC(=O)CC(C)(C)c1ccccc1,spicy;rose;woody;floral,1,0,0,0,0,1
COc1ccc(C=C(C)C=O)cc1,spicy;cinnamon;floral;fruity,1,1,0,0,0,0
CCCC=CC1OCC(C)O1,apple;fruity;green,0,1,1,0,0,0
SC1CCCCC1,meaty;sulfurous;garlic;vegetable;cooked;onion;radish,0,0,0,0,0,0
C=CCCC(=O)C1=CC2(CCCC2)CCC1,green;pineapple;fruity,0,1,1,0,0,0
Nc1nc2c(ncn2C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[Ca+2],odorless,0,0,0,0,0,0
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3],odorless,0,0,0,0,0,0
C=C(C)C12CC(CC1CO)C(C)=C2C,clean;ozone;woody;fresh,0,0,0,0,0,1
Cc1ccc(Oc2ccccc2)cc1,green;floral;rose;metallic,1,0,1,0,0,0
O=C(O)CC(S)C(=O)O,sulfurous,0,0,0,0,0,0
CCCCCCC(C)=O,ketonic;natural;woody;weedy;earthy;herbal;apple;fatty;musty;green;fruity;cheesy;dairy,0,1,1,1,0,1
C=CC(C)(O)CCC=C(C)CCC=C(C)C,woody;waxy;floral;green;sweet;citrus,1,0,1,0,1,1
CC(=O)OC(C)CCCC(C)C,strawberry;fruity;sweet;peach,0,1,0,0,1,0
OCc1ccccc1,rose;phenolic;floral;almond;balsamic;sweet;fruity,1,1,0,0,1,0
CS1=CNCC1,garlic,0,0,0,0,0,0
CCCCC(S)CCOC,natural;tropical;black currant;sulfurous;herbal;fatty;green;fruity,0,1,1,1,0,0
CC(C)(C)C1CCC(=O)CC1,woody;camphoreous;mint;leathery;dry;musk,0,0,0,0,0,1
CCCC(CS)OC(C)=O,fruity;grapefruit;tomato;leafy;tropical;green,0,1,1,0,0,0
CCCC=CCOC(=O)CC,tropical;banana;ripe;apple;green;powdery;creamy;pear;fruity,0,1,1,0,0,0
CCCOC(CC)OC(C)CCC,alcoholic;ethereal;cognac;green,0,0,1,0,0,0
COc1cc(C=O)cc(-c2cc(C=O)cc(OC)c2O)c1O,creamy;milky;vanilla;fruity,0,1,0,0,0,0
N.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Fe+3],odorless,0,0,0,0,0,0
CC(=O)C1C2CCC(C2)C1(C)C,woody;herbal;mint;apple;camphoreous,0,0,0,1,0,1
CCC(C)C(O)C(=O)OC,fruity;caramellic,0,1,0,0,0,0
O=c1cccc[nH]1,nutty;smoky;burnt;animal,0,0,0,0,0,0
CCCCCCCCCCCCCCCC=O,orris;fatty;waxy,0,0,0,0,0,0
CCCOC(=O)C=Cc1ccco1,tropical;caramellic;citrus;apple;spicy;honey;balsamic;strawberry;pear;sweet;fruity,0,1,0,0,1,0
COC(=O)CCSC,tropical;cabbage;pungent;tomato;sulfurous;garlic;vegetable;onion;green;radish;sweet;fruity,0,1,1,0,1,0
CC(C)=CCCC(C)=CCNC(=O)C1CC1,roasted;cooked;meaty,0,0,0,0,0,0
CCCCc1cccnc1,animal;fishy;earthy;green;sweet,0,0,1,0,1,0
CC(=O)OCc1ccccc1C,fruity;sweet;cherry;floral,1,1,0,0,1,0
CCCCOC(C)OCC,rummy;cognac;brandy;alcoholic;green;winey;fruity;ethereal,0,1,1,0,0,0
CC(=O)OCc1ccc(C(C)C)cc1,herbal;bergamot;fresh;sweet;fruity,0,1,0,1,1,0
CC1C(=O)CC2(C(C)C)CC12,woody;herbal;spicy;warm;cedar,0,0,0,1,0,1
CC1C=CCCC1,citrus,0,0,0,0,0,0
COc1ccc(OC)c(C(C)(C)C)c1,woody;vetiver,0,0,0,0,0,1
COc1ccc2ccc(=O)oc2c1CC=C(C)C,herbal;musty;dry,0,0,0,1,0,0
C=C(C)C(=S)OCC,plum;fruity;sulfurous;sour;grape;sweet;onion,0,1,0,0,1,0
COC1(C)CCC23CC1C(C)(C)C2CCC3C,woody;earthy;amber;dry;cedar;vetiver,0,0,0,0,0,1
C=CC(O)CC=CCC,geranium;leafy;mushroom;earthy;green;metallic,0,0,1,0,0,0
CCCc1ccccc1O,medicinal;phenolic;smoky;spicy;balsamic,0,0,0,0,0,0
CCCCC(C)CCC(=O)O,milky;meaty;waxy;musty;sweaty;fatty;lactonic;creamy;fresh;cheesy;dairy,0,0,0,0,0,0
CC(=O)c1ccc(C)[nH]1,roasted;earthy,0,0,0,0,0,0
